Manager Receipt Time,Category Outcome,Source Port,Destination Port,Bytes In,Bytes Out,Transport Protocol,Attacker Address,Target Address,Category Object
"Oct 23, 2019 12:02:34 AM",/Attempt,500,500,,,,10.244.34.1,41.65.3.98,/Host/Application/Service
"Oct 23, 2019 12:02:34 AM",/Success,123,123,76,76,UDP,172.22.120.253,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:02:34 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.163.152,/Host/Application/Service
"Oct 23, 2019 12:02:34 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.207.170,/Host/Application/Service
"Oct 23, 2019 12:02:09 AM",/Attempt,500,500,,,,10.244.34.1,41.65.3.98,/Host/Application/Service
"Oct 23, 2019 12:02:10 AM",/Success,123,123,768,768,UDP,192.168.242.241,10.240.138.21,/Host/Application/Service
"Oct 23, 2019 12:02:10 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:02:14 AM",/Success,123,123,768,768,UDP,192.168.242.108,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:01:55 AM",/Success,123,123,768,768,UDP,192.168.242.238,10.240.138.21,/Host/Application/Service
"Oct 23, 2019 12:01:55 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.204.137,/Host/Application/Service
"Oct 23, 2019 12:01:55 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.2.122,/Host/Application/Service
"Oct 23, 2019 12:01:56 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.12.111,/Host/Application/Service
"Oct 23, 2019 12:02:16 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:02:17 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:02:18 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.25.95,/Host/Application/Service
"Oct 23, 2019 12:02:18 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.19.167,/Host/Application/Service
"Oct 23, 2019 12:02:18 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.203.128,/Host/Application/Service
"Oct 23, 2019 12:02:18 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.28.153,/Host/Application/Service
"Oct 23, 2019 12:02:25 AM",/Success,123,123,768,768,UDP,192.168.242.227,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:02:25 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.33.95,/Host/Application/Service
"Oct 23, 2019 12:02:26 AM",/Failure,123,123,0,0,UDP,172.16.212.4,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:02:20 AM",/Attempt,500,500,,,,151.253.110.132,10.244.222.1,/Host/Resource
"Oct 23, 2019 12:02:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:20 AM",/Success,123,123,768,768,UDP,192.168.242.106,10.240.138.21,/Host/Application/Service
"Oct 23, 2019 12:02:32 AM",/Success,123,123,768,768,UDP,192.168.242.116,10.240.138.21,/Host/Application/Service
"Oct 23, 2019 12:02:33 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.27.115,/Host/Application/Service
"Oct 23, 2019 12:02:34 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.201.158,/Host/Application/Service
"Oct 23, 2019 12:02:42 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.181.140,/Host/Application/Service
"Oct 23, 2019 12:02:42 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.11.63,/Host/Application/Service
"Oct 23, 2019 12:02:44 AM",/Success,123,123,768,768,UDP,192.168.242.111,10.240.138.21,/Host/Application/Service
"Oct 23, 2019 12:02:49 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.203.68,/Host/Application/Service
"Oct 23, 2019 12:02:50 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.201.192,/Host/Application/Service
"Oct 23, 2019 12:02:50 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.138.119,/Host/Application/Service
"Oct 23, 2019 12:02:50 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.3.139,/Host/Application/Service
"Oct 23, 2019 12:02:50 AM",/Attempt,500,500,,,,151.253.110.132,10.244.222.1,/Host/Resource
"Oct 23, 2019 12:02:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:59 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.26.119,/Host/Application/Service
"Oct 23, 2019 12:02:59 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.26.188,/Host/Application/Service
"Oct 23, 2019 12:02:59 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.33.125,/Host/Application/Service
"Oct 23, 2019 12:02:59 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.4.204,/Host/Application/Service
"Oct 23, 2019 12:03:06 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.159.138,/Host/Application/Service
"Oct 23, 2019 12:03:06 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.153.106,/Host/Application/Service
"Oct 23, 2019 12:03:06 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.140.144,/Host/Application/Service
"Oct 23, 2019 12:03:06 AM",/Attempt,500,500,,,,10.244.34.1,41.65.3.98,/Host/Application/Service
"Oct 23, 2019 12:03:13 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.161.136,/Host/Application/Service
"Oct 23, 2019 12:02:38 AM",/Success,53,53,184,152,UDP,172.16.70.2,213.131.65.20,/Host/Application/Service
"Oct 23, 2019 12:03:20 AM",/Success,123,123,768,768,UDP,192.168.242.225,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:03:20 AM",/Success,123,123,768,768,UDP,192.168.242.230,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:03:20 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.173.138,/Host/Application/Service
"Oct 23, 2019 12:03:21 AM",/Attempt,500,500,,,,151.253.110.132,10.244.222.1,/Host/Resource
"Oct 23, 2019 12:03:21 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:03:21 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:03:21 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:03:21 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:03:21 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:03:25 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.205.108,/Host/Application/Service
"Oct 23, 2019 12:03:28 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.33.236,/Host/Application/Service
"Oct 23, 2019 12:03:28 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:03:28 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.184.124,/Host/Application/Service
"Oct 23, 2019 12:03:28 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:03:28 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.28.67,/Host/Application/Service
"Oct 23, 2019 12:03:28 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.19.212,/Host/Application/Service
"Oct 23, 2019 12:03:28 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:03:28 AM",/Success,123,123,148,148,UDP,10.240.192.101,10.5.1.26,/Host/Application/Service
"Oct 23, 2019 12:03:36 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.136.108,/Host/Application/Service
"Oct 23, 2019 12:03:36 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.38.152,/Host/Application/Service
